from,to,weight,Color1,Title1
49537,34276,1,#4b2e83,washington
57009,55939,1,#00549f,erau
57294,8659,1,#430b00,rowan
57037,16627,1,#8b1f41,asu
50869,46037,1,#f2c413,ucf
23973,3232,1,#4b2e83,washington
52716,45741,1,#8b1f41,asu
52004,51986,1,#003091,ie
29613,57215,1,#fa3927,cornell
45420,30703,1,#f2c413,ucf
48419,57215,1,#fa3927,cornell
57037,16587,1,#8b1f41,asu
18739,18708,1,#07294d,baiada
53017,55601,1,#00549f,erau
57215,2447,1,#fa3927,cornell
49443,49480,1,#8b1f41,asu
23973,50404,1,#4b2e83,washington
42235,49339,1,#990000,usc
44409,13713,1,#0e529a,depaul
57242,2513,1,#18453b,msu
58705,53196,1,#990000,usc
58799,58804,1,#003091,ie
57640,50033,1,#18453b,msu
52723,42519,1,#8b1f41,asu
52258,52714,1,#4b2e83,washington
36559,24299,1,#990000,usc
52555,52367,1,#fa3927,cornell
49825,8706,1,#ffffff,null
10646,9117,1,#fa3927,cornell
17378,52728,1,#8b1f41,asu
36559,48302,1,#990000,usc
52018,52043,1,#003091,ie
48300,43061,1,#fa3927,cornell
9646,42934,1,#ffffff,null
36556,50509,1,#74b1de,columbia
52714,46612,1,#8b1f41,asu
52004,52012,1,#003091,ie
36556,48855,1,#74b1de,columbia
51994,52033,1,#003091,ie
17378,34958,1,#8b1f41,asu
49205,49549,1,#01235d,ucsd
55808,55287,1,#f58220,utep
53017,48776,1,#00549f,erau
49443,50231,1,#8b1f41,asu
44580,57215,1,#fa3927,cornell
57332,55390,1,#a50000,bradley
56970,30948,1,#f2c413,ucf
52683,48298,1,#74b1de,columbia
37911,58537,1,#469ed9,umanitoba
57023,57088,1,#18453b,msu
52723,23888,1,#8b1f41,asu
52714,46919,1,#8b1f41,asu
36556,45800,1,#74b1de,columbia
6439,6690,1,#ec0000,omaha
1477,43061,1,#fa3927,cornell
52714,46861,1,#8b1f41,asu
52018,52415,1,#003091,ie
49537,47116,1,#4b2e83,washington
55808,55582,1,#f58220,utep
56269,13669,1,#0e529a,depaul
44123,55604,1,#fa3927,cornell
53017,48777,1,#00549f,erau
47218,53198,1,#990000,usc
49443,50232,1,#8b1f41,asu
57332,56220,1,#a50000,bradley
57345,53109,1,#9e1b34,temple
52714,46898,1,#8b1f41,asu
49478,58173,1,#ffffff,null
52714,46528,1,#8b1f41,asu
52714,46529,1,#8b1f41,asu
36556,50551,1,#74b1de,columbia
52018,51981,1,#003091,ie
52714,46086,1,#8b1f41,asu
52723,46423,1,#8b1f41,asu
52714,46939,1,#8b1f41,asu
56274,50462,1,#00549f,erau
51030,53193,1,#fa3927,cornell
55497,40945,1,#9e1b34,temple
44072,45157,1,#9e1b34,temple
44580,10646,1,#fa3927,cornell
45470,53109,1,#9e1b34,temple
30948,56283,1,#f2c413,ucf
56579,45196,1,#9e1b34,temple
44592,10646,1,#fa3927,cornell
52723,52693,1,#8b1f41,asu
36556,45608,1,#74b1de,columbia
52714,46887,1,#8b1f41,asu
52018,52024,1,#003091,ie
52018,52123,1,#003091,ie
56286,16607,1,#8b1f41,asu
45157,56277,1,#9e1b34,temple
53017,50438,1,#00549f,erau
49443,50233,1,#8b1f41,asu
48298,38072,1,#74b1de,columbia
57088,51374,1,#18453b,msu
13844,49968,1,#900026,iona
57345,53277,1,#9e1b34,temple
53305,51374,1,#18453b,msu
41787,57011,1,#9e1b34,temple
56805,55389,1,#a50000,bradley
56291,55389,1,#a50000,bradley
56836,56874,1,#9e1b34,temple
50561,6371,1,#fa3927,cornell
56242,57150,1,#f58220,utep
50561,2399,1,#fa3927,cornell
50561,2058,1,#fa3927,cornell
53303,57251,1,#18453b,msu
45420,28478,1,#f2c413,ucf
34300,28478,1,#f2c413,ucf
44107,56059,1,#9e1b34,temple
